State,Year,Last_execution,Status
Alabama,,2024,
Arizona,,2025,
Arkansas,,2017,
Florida,,2024,
Georgia,,2020,
Idaho,,2023,
Mississippi,,2023,
Missouri,,2023,
Nebraska,,2018,
Oklahoma,,2024,
South Dakota,,2022,
Tennessee,,2022,
Texas,,2024,
Utah,,2022,
Ohio,,2018,
South Carolina,,2025,
